NAME,PER,K,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
HAT-P-36 b,1.327347,334.7,1.83923,0.10036,0.10036,0.10036,1.264,0.071,0.071,0.071,1.12,0.19,0.19,0.19,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B
HAT-P-37 b,2.79736,177.7,1.17362,0.105162,0.105162,0.105162,1.178,0.077,0.077,0.077,0.89,0.19,0.19,0.19,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B
HAT-P-38 b,4.640382,35.4,0.267569,0.0202231,0.0202231,0.0202231,0.825,0.092,0.063,0.0775,0.59,0.16,0.16,0.16,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...97S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...97S
HAT-P-39 b,3.54387,63.6,0.599196,0.0998597,0.0998597,0.0998597,1.571,0.108,0.81,0.459,0.19,0.04,0.04,0.04,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H
HAT-P-4 b,3.056536,81.1,0.671507,0.0359131,0.0359131,0.0359131,1.274,0.049,0.06,0.0545,0.403,0.065,0.039,0.052,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Kovacs 2007,http://adsabs.harvard.edu/abs/2007ApJ...670L..41K
HAT-P-40 b,4.457243,58.1,0.6202,0.082426,0.082426,0.082426,1.73,0.062,0.062,0.062,0.15,0.01,0.01,0.01,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H
HAT-P-41 b,2.694047,92.5,0.800254,0.103757,0.103757,0.103757,1.685,0.076,0.051,0.0635,0.2,0.03,0.03,0.03,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H
HAT-P-44 b,4.301219,45.9,0.352,0.029,0.029,0.029,1.242,0.106,0.051,0.0785,0.235151,0.0489933,0.0489933,0.0489933,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H
HAT-P-45 b,3.128992,106.6,0.892,0.137,0.099,0.118,1.426,0.175,0.087,0.131,0.409025,0.124971,0.124971,0.124971,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H
HAT-P-46 b,4.463129,52.2,0.493,0.082,0.052,0.067,1.284,0.271,0.133,0.202,0.311583,0.15314,0.15314,0.15314,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H
HAT-P-49 b,2.691548,188.7,1.72959,0.208387,0.208387,0.208387,1.413,0.128,0.077,0.1025,0.812942,0.202323,0.202323,0.202323,Bieryla 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5460B,Bieryla 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5460B
HAT-P-5 b,2.788491,138,1.05561,0.113354,0.113354,0.113354,1.254,0.051,0.056,0.0535,0.66,0.12,0.1,0.11,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...671L.173B
HAT-P-54 b,3.799847,132.6,0.76,0.032,0.032,0.032,0.944,0.028,0.028,0.028,1.118,0.098,0.098,0.098,Bakos 2015,http://adsabs.harvard.edu/abs/2015AJ....149..149B,Bakos 2015,http://adsabs.harvard.edu/abs/2015AJ....149..149B
HAT-P-6 b,3.852985,115.5,1.05957,0.0522928,0.0522928,0.0522928,1.33,0.064,0.058,0.061,0.559,0.086,0.076,0.081,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N
HAT-P-7 b,2.204737,211.8,1.7916,0.0631816,0.0631816,0.0631816,1.363,0.195,0.087,0.141,0.876,0.17,0.24,0.205,Winn 2009,http://adsabs.harvard.edu/abs/2009ApJ...703L..99W,Morris 2013,http://adsabs.harvard.edu/abs/2013ApJ...764L..22M
HAT-P-8 b,3.076337,153.1,1.29336,0.0542198,0.0542198,0.0542198,1.5,0.07,0.07,0.07,0.568,0.048,0.048,0.048,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L
HAT-P-9 b,3.92289,84.7,0.776601,0.0893404,0.0893404,0.0893404,1.4,0.06,0.06,0.06,0.35,0.06,0.06,0.06,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S
HATS-1 b,3.446459,254.1,1.86507,0.25243,0.25243,0.25243,1.302,0.162,0.098,0.13,1.03,0.25,0.25,0.25,Penev 2013,http://adsabs.harvard.edu/abs/2013AJ....145....5P,Penev 2013,http://adsabs.harvard.edu/abs/2013AJ....145....5P
HATS-10 b,3.312846,67,0.526,0.081,0.081,0.081,0.969,0.061,0.045,0.053,0.7,0.15,0.15,0.15,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B
HATS-2 b,1.354133,268.9,1.34915,0.152111,0.152111,0.152111,1.168,0.03,0.03,0.03,3.39,0.05,0.05,0.05,Mohler-Fischer 2013,http://arxiv.org/abs/1304.2140,Mohler-Fischer 2013,http://arxiv.org/abs/1304.2140
HATS-3 b,3.547851,125.7,1.0735,0.138469,0.138469,0.138469,1.381,0.035,0.035,0.035,0.540462,0.0810551,0.0810551,0.0810551,Bayliss 2013,http://adsabs.harvard.edu/abs/2013AJ....146..113B,Bayliss 2013,http://adsabs.harvard.edu/abs/2013AJ....146..113B
HATS-4 b,2.156729,197.5,1.323,0.028,0.028,0.028,1.02,0.037,0.037,0.037,1.55,0.16,0.16,0.16,Jordan 2014,http://adsabs.harvard.edu/abs/2014AJ....148...29J,Jordan 2014,http://adsabs.harvard.edu/abs/2014AJ....148...29J
HATS-5 b,4.763387,30,0.237663,0.013629,0.013629,0.013629,0.912,0.025,0.025,0.025,0.415453,0.041653,0.041653,0.041653,Zhou 2014,http://adsabs.harvard.edu/abs/2014AJ....147..144Z,Zhou 2014,http://adsabs.harvard.edu/abs/2014AJ....147..144Z
HATS-6 b,3.3252725,63,0.319,0.07,0.07,0.07,0.998,0.019,0.019,0.019,0.399,0.089,0.089,0.089,Hartman 2015,http://adsabs.harvard.edu/abs/2015AJ....149..166H,Hartman 2015,http://adsabs.harvard.edu/abs/2015AJ....149..166H
HATS-9 b,1.9153073,133.5,0.837,0.029,0.029,0.029,1.065,0.098,0.098,0.098,0.85,0.19,0.19,0.19,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B
HD 149026 b,2.8758911,43.3,0.361471,0.0155987,0.0155987,0.0155987,0.654,0.06,0.046,0.053,1.59,0.38,0.36,0.37,Carter 2009,http://adsabs.harvard.edu/abs/2009ApJ...696..241C,Carter 2009,http://adsabs.harvard.edu/abs/2009ApJ...696..241C
HD 17156 b,21.21663,279.8,3.30275,0.11156,0.11156,0.11156,1.02,0.08,0.08,0.08,3.78,0.06,0.06,0.06,Barbieri 2009,http://adsabs.harvard.edu/abs/2009A%26A...503..601B,Barbieri 2009,http://adsabs.harvard.edu/abs/2009A%26A...503..601B
HD 189733 b,2.21857567,205,1.1436,0.0562492,0.0562492,0.0562492,1.138,0.027,0.027,0.027,0.963,0.088,0.079,0.0835,Agol 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1861A,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B
HD 209458 b,3.52474859,84.67,0.689646,0.0236457,0.0236457,0.0236457,1.359,0.015,0.015,0.015,0.338,0.015,0.015,0.015,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HD 80606 b,111.4367,472,3.89054,0.188083,0.188083,0.188083,1.029,0.017,0.017,0.017,7.94618,0.694515,0.694515,0.694515,Fossey 2009,http://adsabs.harvard.edu/abs/2009MNRAS.396L..16F,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...498L...5M
HD 97658 b,9.4909,2.9,0.024739,0.002297,0.002297,0.002297,0.208761,0.0160683,0.0133723,0.0147203,3.44,0.91,0.82,0.865,Dragomir 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D,Dragomir 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D
