wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
6318.717,12,5.108,-1.945,48.9,51.7,57.7,58.1,32,60.4,54.2,64.3,25.2,56.5,57.1
6319.236,12,5.108,-2.165,33.9,32.1,41.7,36.1,22.6,47.1,44.8,45.8,19.1,40.2,39.6
6696.018,13,3.143,-1.481,41.5,40,55.1,45.2,24,54.4,48.1,57.9,18.9,46.5,47.4
6698.667,13,3.143,-1.782,23.2,21.5,30.9,25.6,12.3,34.6,27.7,34.3,8.6,26.5,27.9
5488.983,14,5.614,-1.69,19.7,19.3,21.3,18.7,11.6,21.9,20.3,30,8.6,19,22.4
5517.54,14,5.08,-2.496,15.2,13.9,16.1,14.7,9.1,15.8,14.7,21.3,6,15,16.2
5645.611,14,4.929,-2.04,38.1,37.4,40.7,38.5,22.5,39.6,38.2,49.1,17.4,36.3,40.9
5665.554,14,4.92,-1.94,42.4,41,46,42.4,26.4,45.5,43.5,55.7,19.6,43.4,44.3
5684.484,14,4.953,-1.55,61.2,59,63.1,58.5,44.6,63.5,60.5,73.6,34.3,60.4,63.6
5690.425,14,4.929,-1.77,53,51.9,55.4,52.6,39,55.1,53.7,63.4,27.3,50.4,55
5701.104,14,4.93,-1.95,41,40.5,38.8,43.6,26.9,46.4,48.4,55.6,22.3,41.7,44.3
5793.073,14,4.929,-1.96,47.4,45.2,47.4,46.6,30,47.6,46.7,60,21.8,46.9,49.9
6125.021,14,5.614,-1.5,35.7,32.8,35.2,33.4,21.4,37.4,34.1,46.7,16.5,33.9,35.6
6145.015,14,5.616,-1.41,40.6,39,42,39.5,26,43.5,39,52.4,20.1,38.2,42.1
6243.823,14,5.616,-1.27,43.3,43.4,42.1,43.4,30.1,42.7,44.1,55.6,23.7,44,46.1
6244.476,14,5.616,-1.32,49.4,45.2,48.8,45.3,31,59.5,47.1,61.5,21.9,46,49.6
6721.848,14,5.862,-1.12,48.4,44.6,48.8,44.8,28,48,45.6,61.3,20,44.6,48.8
6741.63,14,5.984,-1.65,17.9,16.3,18.2,16.6,9.6,18.1,16.5,24.8,6.4,15.9,17.3
6046,16,7.868,-0.15,17.8,17.4,19,17.1,11.5,18.5,15.1,27.2,7.7,16.4,21.2
6052.656,16,7.87,-0.4,15.5,12.3,13,11.8,6.1,9.5,10.5,20.1,6.6,11.8,13.5
6743.54,16,7.866,-0.6,10.1,9.2,10.3,7.9,5.4,8.6,7.1,13.9,2.9,6.8,12.5
6757.153,16,7.87,-0.15,17.9,15.7,14.6,15,11.8,11.1,13.8,22.2,6.9,12.6,16.8
7698.9741,19,0,-0.168,155.9,154.8,165.9,159.6,140.5,169.7,158.4,167.2,131.5,157.8,161.3
7698.9742,19,0,-0.168,155.9,156.5,169.4,163.1,142.1,170.3,162.8,171.7,132,162.3,164.3
7698.974,19,0,-0.168,158.1,155.8,167.8,162.5,141.5,170.3,161.1,170.8,131.9,162.6,163.9
4512.268,20,2.526,-1.901,27.2,27.2,31.8,29.9,15.5,33.1,31,37.3,11.7,30.5,28.7
5260.387,20,2.521,-1.719,33.4,32,39.1,36.7,19.1,38.3,38.1,43.5,14.3,36.2,34.9
5512.98,20,2.933,-0.464,88.3,85.3,96.9,91.1,66.5,94.8,98.4,100.8,57,90.8,87.2
5581.965,20,2.5229,-0.555,96.7,94.5,101.1,99.3,77.1,102.1,101,106,69,98.9,97.3
5590.114,20,2.521,-0.571,91.8,90.2,96.9,94.6,74.6,96.8,98.8,100.6,67.3,96,93.6
5867.562,20,2.933,-1.57,24.5,24.6,29,28.9,13.4,31.2,29.2,34.2,9.5,27.9,27.2
6166.439,20,2.521,-1.142,71.2,68.6,76.7,74.5,51.9,78.6,79.3,81.8,42.9,75.2,72
6169.042,20,2.523,-0.797,93.9,92.1,102,98.1,72.9,101.2,102.1,107.1,64.5,99.3,94.8
